*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
1643;19.026999;12.242999;-0.121064;9.401494;1.184739;5.422023;2.235357;0.065511;2.784225;1.460395;0.684746
1676;21.464999;12.189999;-0.025315;9.456636;0.248315;5.441103;0.468518;0.032756;2.816981;1.460395;0.684746
1705;23.955999;12.136999;-0.000000;9.511457;0.000000;5.441975;0.000000;0.000000;2.849736;1.460395;0.684746
1755;26.128999;11.977999;-0.035924;9.346028;0.352341;5.440219;0.664795;0.098267;2.751469;1.460395;0.684746
1785;28.354998;11.818999;-0.057401;9.177617;0.562790;5.437492;1.061868;0.196534;2.653203;1.460395;0.684746
1818;30.209998;11.659999;-0.073737;9.006058;0.722705;5.434576;1.363595;0.294800;2.554936;1.460395;0.684746
1850;31.905998;11.447999;-0.094133;8.772094;0.922085;5.429915;1.739783;0.425823;2.423914;1.460395;0.684746
1883;32.700998;11.235999;-0.116706;8.531717;1.142287;5.423435;2.155259;0.556845;2.292891;1.460395;0.684746
1915;33.283998;11.129999;-0.125662;8.408952;1.229504;5.420478;2.319820;0.622356;2.227380;1.460395;0.684746
1945;33.601998;10.705999;-0.174878;7.898835;1.706819;5.400315;3.220413;0.884401;1.965335;1.460395;0.684746
1978;33.707998;9.010000;-0.376147;5.395932;3.603597;5.248297;6.799240;1.932580;0.917156;1.460395;0.684746
2010;33.707998;9.116000;-0.363680;5.585320;3.489571;5.260998;6.584097;1.867069;0.982668;1.460395;0.684746
2042;33.601998;10.811999;-0.161983;8.029403;1.582109;5.406239;2.985111;0.818890;2.030847;1.460395;0.684746
2076;33.230998;11.129999;-0.126079;8.408952;1.233557;5.420335;2.327466;0.622356;2.227380;1.460395;0.684746
2123;32.647998;11.341999;-0.103356;8.652740;1.012120;5.427435;1.909660;0.491334;2.358402;1.460395;0.684746
2155;31.640998;11.500999;-0.088503;8.831166;0.867082;5.431315;1.636004;0.393067;2.456669;1.460395;0.684746
2185;29.891998;11.659999;-0.075594;9.006058;0.740873;5.434199;1.397874;0.294800;2.554936;1.460395;0.684746
2219;27.930998;11.871999;-0.049741;9.234095;0.487758;5.438609;0.920298;0.163778;2.685958;1.460395;0.684746
2250;25.598999;12.083999;-0.012739;9.456636;0.124963;5.441755;0.235779;0.032756;2.816981;1.460395;0.684746
2283;23.372999;12.189999;-0.017391;9.456636;0.170596;5.441564;0.321879;0.032756;2.816981;1.460395;0.684746
2315;20.934999;12.189999;-0.028983;9.456636;0.284288;5.440832;0.536393;0.032756;2.816981;1.460395;0.684746
2346;18.443999;12.295999;-0.271055;9.346028;2.626613;5.341705;4.955873;0.098267;2.751469;1.460395;0.684746
2378;16.058999;12.189999;0.086902;9.456636;-0.851434;5.431698;-1.606479;0.032756;2.816981;1.460395;0.684746
2411;13.567999;12.083999;0.028569;9.456636;-0.280229;5.440865;-0.528733;0.032756;2.816981;1.460395;0.684746
2443;11.500999;11.871999;0.091679;9.234095;-0.898110;5.430536;-1.694548;0.163778;2.685958;1.460395;0.684746
2490;9.380999;11.606999;0.134027;8.948140;-1.310874;5.417518;-2.473347;0.327556;2.522180;1.460395;0.684746
2523;7.632000;11.129999;0.208038;8.408952;-2.026160;5.382986;-3.822943;0.622356;2.227380;1.460395;0.684746
2555;6.095000;10.864999;0.226515;8.093897;-2.203155;5.372018;-4.156896;0.786134;2.063602;1.460395;0.684746
2585;4.611000;10.546999;0.249740;7.698832;-2.424560;5.356896;-4.574642;0.982668;1.867069;1.460395;0.684746
2618;3.498000;10.387999;0.252496;7.493493;-2.450750;5.355003;-4.624058;1.080934;1.768802;1.460395;0.684746
2651;3.074000;9.963999;0.303616;6.916181;-2.932924;5.316065;-5.533819;1.342979;1.506757;1.460395;0.684746
2683;2.703000;9.592999;0.345609;6.368244;-3.323333;5.278630;-6.270440;1.572268;1.277468;1.460395;0.684746
