*** Dátum: 6-2-2019 ***
*** Konfigurácia kyvadla: ***
Váha:;0.063000;Dåžka lanka:;0.530000
Ubehnutý èas:;Súradnica x:;Súradnica y:;Aktuálna výchylka:;Rýchlos;Zrýchlenie:;Uhlová rýchlos:;Uhlové zrýchlenie:;Potenciálna energia:;Kinetická energia:;Perióda:;Frekvencia:
0;0.080208;0.071086;-0.097484;0.000000;0.954801;6.055426;1.801512;0.001555;0.000000;1.460395;0.684746
19;0.088700;0.071715;-0.062807;0.111097;0.615727;6.063866;1.161750;0.001166;0.000389;1.460395;0.684746
51;0.097193;0.072030;-0.045864;0.136066;0.449763;6.066661;0.848610;0.000972;0.000583;1.460395;0.684746
83;0.105685;0.072344;-0.032650;0.157115;0.320241;6.068235;0.604229;0.000778;0.000778;1.460395;0.684746
115;0.113863;0.072659;-0.022139;0.175660;0.217169;6.069109;0.409753;0.000583;0.000972;1.460395;0.684746
147;0.122042;0.072344;-0.026934;0.157115;0.264195;6.068752;0.498480;0.000778;0.000778;1.460395;0.684746
179;0.129276;0.072344;-0.024999;0.157115;0.245212;6.068904;0.462664;0.000778;0.000778;1.460395;0.684746
211;0.135881;0.072030;-0.029323;0.136066;0.287621;6.068548;0.542682;0.000972;0.000583;1.460395;0.684746
243;0.141858;0.071715;-0.033330;0.111097;0.326909;6.068167;0.616810;0.001166;0.000389;1.460395;0.684746
275;0.146890;0.071086;-0.042547;0.000000;0.417258;6.067106;0.787279;0.001555;0.000000;1.460395;0.684746
323;0.150665;0.070772;-0.046383;0.000000;0.454858;6.066588;0.858223;0.001750;0.000000;1.460395;0.684746
355;0.153810;0.070457;-0.050241;0.000000;0.492654;6.066022;0.929536;0.001944;0.000000;1.460395;0.684746
387;0.155697;0.070142;-0.054442;0.000000;0.533812;6.065355;1.007193;0.002138;0.000000;1.460395;0.684746
419;0.156641;0.070142;-0.054041;0.000000;0.529883;6.065421;0.999780;0.002138;0.000000;1.460395;0.684746
451;0.156326;0.070142;-0.054174;0.000000;0.531186;6.065399;1.002239;0.002138;0.000000;1.460395;0.684746
483;0.155068;0.070457;-0.049741;0.078557;0.487758;6.066098;0.920298;0.001944;0.000194;1.460395;0.684746
516;0.152866;0.070772;-0.045562;0.111097;0.446806;6.066702;0.843030;0.001750;0.000389;1.460395;0.684746
547;0.149407;0.070772;-0.046866;0.111097;0.459591;6.066519;0.867153;0.001750;0.000389;1.460395;0.684746
579;0.145317;0.071401;-0.037731;0.157115;0.370057;6.067692;0.698221;0.001361;0.000778;1.460395;0.684746
611;0.139970;0.072030;-0.028247;0.192426;0.277063;6.068642;0.522761;0.000972;0.001166;1.460395;0.684746
643;0.133994;0.072030;-0.029849;0.192426;0.292771;6.068501;0.552397;0.000972;0.001166;1.460395;0.684746
691;0.127074;0.072030;-0.031946;0.192426;0.313339;6.068304;0.591205;0.000972;0.001166;1.460395;0.684746
723;0.119840;0.072659;-0.020689;0.222194;0.202944;6.069203;0.382913;0.000583;0.001555;1.460395;0.684746
755;0.111976;0.072659;-0.022641;0.222194;0.222085;6.069075;0.419028;0.000583;0.001555;1.460395;0.684746
787;0.104113;0.072344;-0.033330;0.207844;0.326909;6.068167;0.616810;0.000778;0.001361;1.460395;0.684746
819;0.095620;0.072030;-0.046940;0.192426;0.460310;6.066509;0.868509;0.000972;0.001166;1.460395;0.684746
851;0.087757;0.071715;-0.063808;0.175660;0.625533;6.063673;1.180251;0.001166;0.000972;1.460395;0.684746
883;0.079893;0.071086;-0.098081;0.136066;0.960631;6.055249;1.812511;0.001555;0.000583;1.460395;0.684746
915;0.072659;0.070142;-0.156821;0.000000;1.532113;6.032496;2.890779;0.002138;0.000000;1.460395;0.684746
947;0.065739;0.069828;-0.202693;0.000000;1.974831;6.007400;3.726096;0.002333;0.000000;1.460395;0.684746
979;0.058819;0.068884;-0.309993;0.000000;2.992564;5.923429;5.646348;0.002916;0.000000;1.460395;0.684746
1011;0.053157;0.068255;-0.429186;0.000000;4.082241;5.788059;7.702341;0.003305;0.000000;1.460395;0.684746
1059;0.049383;0.066997;-0.616106;0.000000;5.668818;5.483517;10.695884;0.004082;0.000000;1.460395;0.684746
1091;0.047181;0.066368;-0.743418;0.000000;6.639486;5.207918;12.527333;0.004471;0.000000;1.460395;0.684746
1123;0.044665;0.066682;-0.814512;0.078557;7.135702;5.028182;13.463589;0.004277;0.000194;1.460395;0.684746
1155;0.043407;0.065739;-0.977705;0.000000;8.134615;4.537909;15.348332;0.004860;0.000000;1.460395;0.684746
1187;0.044036;0.065739;-0.943555;0.000000;7.942664;4.650131;14.986159;0.004860;0.000000;1.460395;0.684746
1223;0.044665;0.066053;-0.879685;0.078557;7.558980;4.845985;14.262228;0.004665;0.000194;1.460395;0.684746
1251;0.046866;0.066368;-0.755060;0.111097;6.723113;5.179794;12.685120;0.004471;0.000389;1.460395;0.684746
1283;0.049383;0.067312;-0.588469;0.175660;5.445416;5.535864;10.274371;0.003888;0.000972;1.460395;0.684746
1315;0.053472;0.068255;-0.423915;0.222194;4.035170;5.794994;7.613529;0.003305;0.001555;1.460395;0.684746
1347;0.058504;0.069199;-0.292631;0.260546;2.829910;5.939432;5.339453;0.002722;0.002138;1.460395;0.684746
1395;0.065739;0.070142;-0.185903;0.293935;1.813226;6.017333;3.421181;0.002138;0.002722;1.460395;0.684746
1427;0.071401;0.070457;-0.146795;0.304252;1.434889;6.037124;2.707338;0.001944;0.002916;1.460395;0.684746
1459;0.078950;0.071086;-0.099917;0.323901;0.978554;6.054697;1.846328;0.001555;0.003305;1.460395;0.684746
1491;0.086499;0.071401;-0.076050;0.333291;0.745334;6.061074;1.406291;0.001361;0.003499;1.460395;0.684746
1523;0.094677;0.072344;-0.038091;0.359996;0.373579;6.067651;0.704866;0.000778;0.004082;1.460395;0.684746
1555;0.102855;0.072344;-0.033895;0.359996;0.332447;6.068109;0.627258;0.000778;0.004082;1.460395;0.684746
1587;0.110089;0.072344;-0.030886;0.359996;0.302939;6.068405;0.571584;0.000778;0.004082;1.460395;0.684746
1619;0.117638;0.072659;-0.021201;0.368467;0.207962;6.069171;0.392382;0.000583;0.004277;1.460395;0.684746
1651;0.124558;0.072030;-0.032784;0.351320;0.321553;6.068222;0.606704;0.000972;0.003888;1.460395;0.684746
1683;0.130849;0.072030;-0.030767;0.351320;0.301775;6.068416;0.569386;0.000972;0.003888;1.460395;0.684746
1715;0.136825;0.072030;-0.029068;0.351320;0.285114;6.068571;0.537951;0.000972;0.003888;1.460395;0.684746
1763;0.141858;0.071715;-0.033330;0.342424;0.326909;6.068167;0.616810;0.001166;0.003694;1.460395;0.684746
1795;0.145947;0.071086;-0.042889;0.323901;0.420611;6.067061;0.793605;0.001555;0.003305;1.460395;0.684746
